date,open,high,low,close,volume,dividends,stock_splits,daily_return_pct,high_low_pct,open_close_pct,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,rsi_14,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,atr_14,volume_sma_20,volume_ratio,week_52_high,week_52_low,distance_52w_high_pct,distance_52w_low_pct,symbol,exchange,company_name,sector,industry,pe_ratio,pb_ratio,market_cap,enterprise_value,roe,profit_margin,operating_margin,revenue_growth,earnings_growth,dividend_yield,eps,debt_to_equity,current_ratio,free_cashflow,nifty_50,nifty_next_50,nifty_100,nifty_200,nifty_500,nifty_total_market,nifty_500_multicap_50_25_25,nifty_500_largemidsmall_equal_cap,nifty_midcap_150,nifty_midcap_50,nifty_midcap_select,nifty_midcap_100,nifty_smallcap_500,nifty_smallcap_250,nifty_smallcap_50,nifty_smallcap_100,nifty_microcap_250,nifty_largemidcap_250,nifty_midsmallcap_400,nifty_midsmallcap_400_50_50,nifty_india_fpi_150,india_vix,nifty_auto,nifty_bank,nifty_chemicals,nifty_financial_services,nifty_financial_services_25_50,nifty_financial_services_ex_bank,nifty_fmcg,nifty_healthcare,nifty_it,nifty_media,nifty_metal,nifty_pharma,nifty_private_bank,nifty_psu_bank,nifty_realty,nifty_consumer_durables,nifty_oil_gas,nifty_energy,nifty_500_healthcare,nifty_midsmall_financial_services,nifty_midsmall_healthcare,nifty_midsmall_it_telecom,nifty_capital_markets,nifty_commodities,nifty_conglomerate_50,nifty_core_housing,nifty_cpse,nifty_ev_new_age_auto,nifty_housing,nifty_india_consumption,nifty_india_defence,nifty_india_digital,nifty_india_infra_logistics,nifty_india_internet,nifty_india_manufacturing,nifty_india_new_age_consumption,nifty_india_railways_psu,nifty_india_tourism,nifty_infrastructure,nifty_ipo,nifty_midcap_liquid_15,nifty_midsmall_india_consumption,nifty_mnc,nifty_mobility,nifty_pse,nifty_reits_invits,nifty_rural,nifty_non_cyclical_consumer,nifty_services_sector,nifty_shariah_25,nifty100_liquid_15,nifty50_shariah,nifty500_shariah,nifty_multicap_mfg_infra,nifty_sme_emerge,nifty_transport_logistics,nifty_waves,nifty100_esg,nifty100_enhanced_esg,nifty_esg_sector_leaders
2019-12-31 18:30:00+00:00,34.474580529806055,35.2406815887457,33.75636010210176,34.28305435180664,49077,0.0,0.0,,4.397160956200147,-0.5555576748318203,,34.28305435180664,,34.28305435180664,,34.28305435180664,,34.28305435180664,,34.28305435180664,,34.28305435180664,,,,,,,,0.0,,,35.2406815887457,33.75636010210176,-2.717391360684931,1.5602815235760217,20MICRONS,NSE,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,9.518884,1.3511876,6155634176,7370951680,,0.07001,0.10623,0.001,0.162,0.7,18.27,35.637,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-01 18:30:00+00:00,34.47458461916175,34.6661108198799,33.61271854245934,34.04365158081055,25846,0.0,0.0,-0.6983122581185053,3.133909790991523,-1.2500021192762505,,34.20325342814128,,34.2395265752619,,34.260254087902254,,34.273666007846,,34.27831370287602,,34.2806722346823,,,,,,,,0.0,,,35.2406815887457,33.61271854245934,-3.396727741830716,1.2820535114018068,20MICRONS,NSE,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,9.518884,1.3511876,6155634176,7370951680,,0.07001,0.10623,0.001,0.162,0.7,18.27,35.637,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-02 18:30:00+00:00,34.330931767207,34.330931767207,33.469069526528706,33.5648307800293,12358,0.0,0.0,-1.4064907216097433,2.5751006910877847,-2.231518189988315,,33.99044587877062,,34.11685461249233,,34.19402329667626,,34.24586854793162,,34.26418532816618,,34.27354943413849,,,,,,,,0.0,,,35.2406815887457,33.469069526528706,-4.755443802913268,0.2861186607673307,20MICRONS,NSE,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,9.518884,1.3511876,6155634176,7370951680,,0.07001,0.10623,0.001,0.162,0.7,18.27,35.637,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-05 18:30:00+00:00,33.9957677502927,33.9957677502927,30.83559852101796,31.41017341613769,42082,0.0,0.0,-6.419389920397278,10.248444592767433,-7.605635951942125,,33.130355057892984,,33.624730758609665,,33.92889473662497,,34.134664817273034,,34.207670240799274,,34.245058130476785,,,,,,,,0.0,,,35.2406815887457,30.83559852101796,-10.869563243156179,1.8633492543629189,20MICRONS,NSE,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,9.518884,1.3511876,6155634176,7370951680,,0.07001,0.10623,0.001,0.162,0.7,18.27,35.637,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-06 18:30:00+00:00,30.97924272547116,33.32543041921734,30.97924272547116,31.793228149414062,24770,0.0,0.0,1.219524413958073,7.5734184806820455,2.6275187910698774,33.01898765563965,32.684646088400015,,33.291730284210466,,33.725497918795355,,34.042843771474644,,34.159859506316394,,34.220661812257255,,,,,,,,0.0,,,35.2406815887457,30.83559852101796,-9.782595806639,3.1055976673952634,20MICRONS,NSE,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,9.518884,1.3511876,6155634176,7370951680,,0.07001,0.10623,0.001,0.162,0.7,18.27,35.637,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-07 18:30:00+00:00,31.60170052667319,31.98475290337129,30.931360693980604,31.31441307067871,25706,0.0,0.0,-1.506028505457624,3.4055799219841045,-0.9090885971531739,32.42525939941406,32.227901749159585,,32.93221806356833,,33.495870790403295,,33.935846489090494,,34.10351403234337,,34.1917439143311,,,,,,,,0.0,,,35.2406815887457,30.83559852101796,-11.141295630674932,1.552797975801845,20MICRONS,NSE,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,9.518884,1.3511876,6155634176,7370951680,,0.07001,0.10623,0.001,0.162,0.7,18.27,35.637,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-08 18:30:00+00:00,31.793228364094663,32.55932950416933,31.69746343842384,31.98475456237793,19395,0.0,0.0,2.140680363978764,2.7190379678795664,0.6024119227211441,32.013479995727536,32.14685268689904,,32.7599519724428,,33.35195495916278,,33.859333080199804,,34.061558399274745,,34.169783821276845,,,,,,,,0.0,,,35.2406815887457,30.83559852101796,-9.239114794554851,3.7267187811408595,20MICRONS,NSE,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,9.518884,1.3511876,6155634176,7370951680,,0.07001,0.10623,0.001,0.162,0.7,18.27,35.637,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-09 18:30:00+00:00,32.03263311423361,33.42119339510688,32.03263311423361,32.846614837646484,30558,0.0,0.0,2.694597119973885,4.334830283609337,2.541101508920858,31.869836807250977,32.38010673714819,,32.775708857025286,,33.303827328542184,,33.81961863931536,,34.03750011092567,,34.15661796074321,,,,,,,,0.0,,,35.2406815887457,30.83559852101796,-6.793474595746113,6.521735958060902,20MICRONS,NSE,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,9.518884,1.3511876,6155634176,7370951680,,0.07001,0.10623,0.001,0.162,0.7,18.27,35.637,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-12 18:30:00+00:00,33.42119500450314,35.33644964881717,31.88898909721692,34.37882232666016,55975,0.0,0.0,4.664734848893981,10.810817931826898,2.8653293876176282,32.463566589355466,33.04634526698551,,33.06718403332253,,33.40620780455342,,33.841548195681824,,34.04425896668278,,34.15882894945881,,,,,,,,0.0,,,35.33644964881717,30.83559852101796,-2.7100269882066774,11.490692496943407,20MICRONS,NSE,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,9.518884,1.3511876,6155634176,7370951680,,0.07001,0.10623,0.001,0.162,0.7,18.27,35.637,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-13 18:30:00+00:00,34.3309423478084,35.3364540847459,33.70848670210194,34.52246856689453,42338,0.0,0.0,0.4178335106114872,4.829547517309476,0.5578822076765829,33.00941467285156,33.53838636695519,33.014201164245605,33.33178122124471,,33.51251835334781,,33.86825095533723,,34.05372846371667,,34.16244725410991,,,,,,,,0.0,,,35.3364540847459,30.83559852101796,-2.303529142735218,11.956537971408437,20MICRONS,NSE,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,9.518884,1.3511876,6155634176,7370951680,,0.07001,0.10623,0.001,0.162,0.7,18.27,35.637,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
