date,open,high,low,close,volume,dividends,stock_splits,daily_return_pct,high_low_pct,open_close_pct,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,rsi_14,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,atr_14,volume_sma_20,volume_ratio,week_52_high,week_52_low,distance_52w_high_pct,distance_52w_low_pct,symbol,exchange,company_name,sector,industry,pe_ratio,pb_ratio,market_cap,enterprise_value,roe,profit_margin,operating_margin,revenue_growth,earnings_growth,dividend_yield,eps,debt_to_equity,current_ratio,free_cashflow,nifty_50,nifty_next_50,nifty_100,nifty_200,nifty_500,nifty_total_market,nifty_500_multicap_50_25_25,nifty_500_largemidsmall_equal_cap,nifty_midcap_150,nifty_midcap_50,nifty_midcap_select,nifty_midcap_100,nifty_smallcap_500,nifty_smallcap_250,nifty_smallcap_50,nifty_smallcap_100,nifty_microcap_250,nifty_largemidcap_250,nifty_midsmallcap_400,nifty_midsmallcap_400_50_50,nifty_india_fpi_150,india_vix,nifty_auto,nifty_bank,nifty_chemicals,nifty_financial_services,nifty_financial_services_25_50,nifty_financial_services_ex_bank,nifty_fmcg,nifty_healthcare,nifty_it,nifty_media,nifty_metal,nifty_pharma,nifty_private_bank,nifty_psu_bank,nifty_realty,nifty_consumer_durables,nifty_oil_gas,nifty_energy,nifty_500_healthcare,nifty_midsmall_financial_services,nifty_midsmall_healthcare,nifty_midsmall_it_telecom,nifty_capital_markets,nifty_commodities,nifty_conglomerate_50,nifty_core_housing,nifty_cpse,nifty_ev_new_age_auto,nifty_housing,nifty_india_consumption,nifty_india_defence,nifty_india_digital,nifty_india_infra_logistics,nifty_india_internet,nifty_india_manufacturing,nifty_india_new_age_consumption,nifty_india_railways_psu,nifty_india_tourism,nifty_infrastructure,nifty_ipo,nifty_midcap_liquid_15,nifty_midsmall_india_consumption,nifty_mnc,nifty_mobility,nifty_pse,nifty_reits_invits,nifty_rural,nifty_non_cyclical_consumer,nifty_services_sector,nifty_shariah_25,nifty100_liquid_15,nifty50_shariah,nifty500_shariah,nifty_multicap_mfg_infra,nifty_sme_emerge,nifty_transport_logistics,nifty_waves,nifty100_esg,nifty100_enhanced_esg,nifty_esg_sector_leaders
2019-12-31 18:30:00+00:00,14.816802024841309,14.816802024841309,14.816802024841309,14.816802024841309,0,0.0,0.0,,0.0,0.0,,14.816802024841309,,14.816802024841309,,14.816802024841309,,14.816802024841309,,14.816802024841309,,14.816802024841309,,,,,,,,0.0,,,14.816802024841309,14.816802024841309,0.0,0.0,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-01 18:30:00+00:00,14.816802024841309,14.816802024841309,14.816802024841309,14.816802024841309,0,0.0,0.0,0.0,0.0,0.0,,14.816802024841309,,14.816802024841309,,14.816802024841309,,14.816802024841309,,14.816802024841309,,14.816802024841309,,,,,,,,0.0,,,14.816802024841309,14.816802024841309,0.0,0.0,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-02 18:30:00+00:00,15.397852897644045,15.397852897644045,15.397852897644045,15.397852897644045,352,0.0,0.0,3.921567365404277,0.0,0.0,,15.010485649108887,,14.922447638078168,,14.872140203203475,,14.839588333578671,,14.82830798271859,,14.822583625565715,,,,,,,,0.0,,,15.397852897644045,14.816802024841309,0.0,3.921567365404272,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-05 18:30:00+00:00,15.688379287719728,15.688379287719728,15.688379287719728,15.688379287719728,1383,0.0,0.0,1.8867980620865366,0.0,0.0,,15.236450195312502,,15.061707938012997,,14.94987725887169,,14.87287425334891,,14.845339097669108,,14.831198507776204,,,,,,,,0.0,,,15.688379287719728,14.816802024841309,0.0,5.882357484544675,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-06 18:30:00+00:00,15.978903770446776,15.978903770446776,15.978903770446776,15.978903770446776,2520,0.0,0.0,1.8518450975650413,0.0,0.0,15.339748001098632,15.483934720357261,,15.22847081663732,,15.047879783783603,,14.916247959901767,,14.867785922872624,,14.842618460638597,,,,,,,,0.0,,,15.978903770446776,14.816802024841309,0.0,7.843134730808508,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-07 18:30:00+00:00,16.269428253173828,16.269428253173828,16.269428253173828,16.269428253173828,314,0.0,0.0,1.8181753072722184,0.0,0.0,15.630273246765137,15.745765897962784,,15.417735805098502,,15.16421773324934,,14.969313853755574,,14.895541216541954,,14.856815573002132,,,,,,,,0.0,,,16.269428253173828,14.816802024841309,0.0,9.803911977072378,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-08 18:30:00+00:00,16.559955596923828,16.559955596923828,15.978904166887425,16.559955596923828,8524,0.0,0.0,1.7857255905309621,3.6363659483013717,0.0,15.97890396118164,16.017162464283132,,15.625412130884923,,15.297145148837386,,15.0316919613308,,14.928499917143574,,14.873762239906826,,,,,,,,0.0,,,16.559955596923828,14.816802024841309,0.0,11.764708532651055,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-09 18:30:00+00:00,16.269428253173828,16.70521726859035,16.269428253173828,16.269428253173828,2565,0.0,0.0,-1.754396876546993,2.678576091520043,0.0,16.1532190322876,16.101251060580033,,15.742505971301087,,15.38974353972657,,15.080230639442291,,14.955052953500608,,14.887649463919434,,,,,,,,0.0,,,16.70521726859035,14.816802024841309,-2.6087000750113245,9.803911977072378,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-12 18:30:00+00:00,16.463112975611832,16.463112975611832,15.978903770446776,15.978903770446776,560,0.0,0.0,-1.785708005260589,3.0303030303030463,-2.9411764705882506,16.211323928833007,16.060468630535617,,15.785487389327574,,15.445854037890399,,15.115472723011095,,14.975327227103502,,14.898507715725676,,,,,,,,0.0,,,16.70521726859035,14.816802024841309,-4.347824314199194,7.843134730808508,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-13 18:30:00+00:00,15.882061865241369,15.882061865241369,15.688379287719728,15.688379287719728,604,0.0,0.0,-1.8181753072721851,1.2345607788386888,-1.219505245383306,16.1532190322876,15.936438849596987,15.746483516693115,15.767831370853418,,15.468951680731287,,15.137939647117316,,14.989447069887982,,14.906367134352484,,,,,,,,0.0,,,16.70521726859035,14.816802024841309,-6.086948553387033,5.882357484544675,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
