Prediction,Signal,Target_PnL,Strategy_PnL
0.20655169,0,0.21290162,0.0
0.1881254,0,0.1957204,0.0
0.17836837,0,0.20932046,0.0
0.11271075,0,0.4337517,0.0
0.1078439,0,0.4453165,0.0
0.07283795,0,0.19433482,0.0
0.08128777,0,0.2591094,0.0
0.03565146,0,0.28750184,0.0
0.012741443,0,0.32153168,0.0
-0.0031947382,0,0.53063136,0.0
0.021493794,0,0.53809565,0.0
0.018553266,0,0.4157272,0.0
0.04320451,0,0.39820328,0.0
0.029429931,0,0.37780914,0.0
0.056224357,0,0.38592348,0.0
0.01535059,0,0.3214552,0.0
0.017616753,0,0.2761763,0.0
0.0019669225,0,0.27580062,0.0
0.017377002,0,0.18383475,0.0
-0.019710178,0,0.15686955,0.0
-0.04638259,0,0.13668163,0.0
-0.06338152,0,0.09259705,0.0
-0.028520977,0,0.01576662,0.0
-0.023960592,0,0.0,0.0
-0.001012436,0,0.0,0.0
-0.029440807,0,0.0,0.0
-0.009593846,0,0.0,0.0
-0.0442609,0,0.0,0.0
-0.035280753,0,0.0,0.0
-0.061541364,0,0.0,0.0
-0.049223416,0,0.0,0.0
-0.086312346,0,0.0,0.0
-0.09946755,-1,0.0,-0.006525097779124188
-0.12067456,-1,0.0,0.0
-0.097572654,-1,0.0,0.0
-0.102249265,-1,0.0,0.0
-0.08986592,0,0.0,0.0
-0.109898,-1,0.0,0.0
-0.10046034,-1,0.0,0.0
-0.12165652,-1,0.0,0.0
-0.12549041,-1,0.0,0.0
-0.13199888,-1,0.0,0.0
-0.12071983,-1,-0.7069446,0.0
-0.12883951,-1,-0.73221684,0.0
-0.13098206,-1,-0.750483,0.018702261263808088
-0.14501975,-1,-0.78177917,0.0
-0.13909984,-1,-0.79942554,0.0
-0.14184111,-1,-0.81171376,0.0
-0.12301672,-1,-0.8219228,0.0
-0.11706529,-1,-0.8423707,0.0
-0.108719245,-1,-0.8491966,0.0
-0.117573954,-1,-0.86776596,0.0
-0.1284337,-1,-0.83794004,0.0
-0.12247833,-1,-0.84044117,0.0
-0.10584684,-1,-0.85738647,0.0
-0.098932505,-1,-0.7485175,0.0
-0.09243838,-1,-0.84939694,0.0
-0.11308628,-1,-0.85089993,0.0
-0.10117134,-1,-0.8648001,0.0
-0.116401985,-1,-0.83375967,0.0
-0.0867906,0,-0.83579165,0.0
-0.07967735,0,-0.8439374,0.0
-0.059132453,0,-0.8224248,0.0
-0.06728139,0,-0.80080575,0.0
-0.078940645,0,-0.66945195,0.0
-0.074360065,0,-0.6683659,0.0
-0.062012535,0,-0.6683876,0.0
-0.05770597,0,-0.7111389,0.0
-0.05148273,0,-0.58515394,0.0
-0.079475924,0,-0.6502538,0.0
-0.084066406,0,-0.6346481,0.0
-0.121553324,-1,-0.62485594,0.0
-0.108871005,-1,-0.5902217,0.0
-0.10484109,-1,-0.56002843,0.0
-0.09671819,-1,-0.565102,0.0
-0.10577124,-1,-0.5540104,0.0
-0.12083686,-1,-0.55480486,0.0
-0.10584582,-1,-0.4960907,0.0
-0.09244026,-1,-0.5735324,0.0
-0.06293808,0,-0.61334735,0.0
-0.03767316,0,-0.63730586,0.0
-0.054441176,0,-0.49911195,0.0
-0.063602835,0,-0.603417,0.0
-0.090313286,-1,-0.58723927,0.0
-0.051627375,0,-0.5988982,0.0
-0.027248224,0,-0.5829865,0.0
-0.0032563582,0,-0.5612589,0.0
-0.007994758,0,-0.53252625,0.0
-0.015595485,0,-0.54101264,0.0
0.004117952,0,-0.5052561,0.0
0.014489549,0,-0.5289398,0.0
0.025290307,0,-0.5708096,0.0
0.019869372,0,-0.5938043,0.0
-0.0021452152,0,-0.60436106,0.0
-0.030255977,0,-0.4552373,0.0
-0.06786646,0,-0.43172216,0.0
-0.05372314,0,-0.42158347,0.0
-0.02837222,0,-0.40515023,0.0
-0.0127074625,0,-0.3595997,0.0
-0.012632189,0,-0.23464693,0.0
-0.02821122,0,-0.22267349,0.0
-0.0105837155,0,-0.23312932,0.0
-0.00526257,0,-0.19669777,0.0
0.017214563,0,-0.23060338,0.0
0.019235423,0,-0.22440076,0.0
0.006816089,0,-0.10340312,0.0
-0.019059561,0,-0.109563656,0.0
-0.046742894,0,-0.06452206,0.0
-0.034136478,0,-0.05365222,0.0
-0.00757277,0,-0.049810547,0.0
0.002188615,0,0.0,0.0
0.0030979824,0,0.0,0.0
-0.016057663,0,0.0,0.0
0.0075422497,0,0.0,0.0
0.016538985,0,0.0,0.0
0.037534982,0,0.0,0.0
0.035465393,0,0.0,0.0
0.008775059,0,0.0,0.0
-0.032350652,0,0.0,0.0
-0.06813036,0,0.0,0.0
-0.058428135,0,0.0035426996,0.0
